,College_ID,College_Name,GOPEN,TableName,LOPEN,Mean
28,6006,"College of Engineering, Pune",1255,Table 29,2312,1783.5
38,6175,"Pimpri Chinchwad Education Trust, Pimpri Chinchwad College of Engineering, Pune",12971,Table 39,11669,12320.0
27,6004,"Government College of Engineering & Research, Avasari Khurd",12456,Table 28,13060,12758.0
33,6146,"MIT Academy of Engineering,Alandi, Pune",16173,Table 34,15821,15997.0
53,6289,"B.R.A.C.T's Vishwakarma Institute of Information Technology, Kondhwa (Bk.), Pune",14178,Table 54,20953,17565.5
2,5121,"K. K. Wagh Institute of Engineering Education and Research, Nashik",22937,Table 3,25089,24013.0
59,6325,"Alard  Charitable Trust's Alard College of Engineering and Management, Pune",23543,Table 60,28690,26116.5
51,6278,"All India Shri Shivaji Memorial Society's College of Engineering, Pune",28635,Table 52,29723,29179.0
10,5162,"Amrutvahini Sheti & Shikshan Vikas Sanstha's Amrutvahini College of Engineering, Sangamner",34835,Table 11,35804,35319.5
3,5121,"K. K. Wagh Institute of Engineering Education and Research, Nashik",32662,Table 4,38821,35741.5
9,5161,"Dr. Vithalrao Vikhe Patil College of Engineering, Ahmednagar",36668,Table 10,36368,36518.0
8,5160,"Sanjivani Rural Education Society's Sanjivani College of Engineering, Kopargaon",37829,Table 9,37010,37419.5
6,5139,"Pravara Rural College of Engineering, Loni, Pravaranagar, Ahmednagar.",37793,Table 7,40191,38992.0
40,6177,"Sinhgad College of Engineering, Vadgaon (BK), Pune",32805,Table 41,48041,40423.0
48,6272,"Dr. D. Y. Patil Pratishthan's D.Y.Patil College of Engineering Akurdi, Pune",40070,Table 49,42759,41414.5
7,5151,"MET Bhujbal Knowledge City MET League's Engineering College, Adgaon, Nashik.",39672,Table 8,44749,42210.5
0,5108,"Nashik District Maratha Vidya Prasarak Samaj's Karmaveer Adv.Babaurao Ganpatrao Thakare College of Engineering, Nashik",38617,Table 1,46538,42577.5
31,6141,"Jaywant Shikshan Prasarak Mandal's,Rajarshi Shahu College of Engineering, Tathawade, Pune",32932,Table 32,52624,42778.0
32,6144,"Genba Sopanrao Moze College of Engineering, Baner-Balewadi, Pune",39934,Table 33,48098,44016.0
16,5184,"Amruta Vaishnavi Education & Welfare Trust's Shatabdi Institute of Engineering & Research, Agaskhind Tal. Sinnar",32066,Table 17,70534,51300.0
